tipo_dados, oversample, h_layer_size, h_layer_num, regularizer,regularizer_lambda, epochs, f1, loss
AP-COV, true, 16, 1, L1, 1e-2, 1, 0.43903836276717634, 6.28547344471048
AP-COV, true, 16, 1, L1, 1e-2, 5, 0.6138486213065203, 3.525624658432475
AP-COV, true, 16, 1, L1, 1e-2, 15, 0.734774468826193, 2.1375094023218915
AP-COV, true, 16, 1, L1, 1e-3, 1, 0.43903836276717634, 5.64441493756932
AP-COV, true, 16, 1, L1, 1e-3, 5, 0.6138486213065203, 2.8972099339303794
AP-COV, true, 16, 1, L1, 1e-3, 15, 0.734774468826193, 1.5209819162550149
AP-COV, true, 16, 1, L2, 1e-2, 1, 0.43903836276717634, 5.750627673842424
AP-COV, true, 16, 1, L2, 1e-2, 5, 0.6138486213065203, 2.9972357574416084
AP-COV, true, 16, 1, L2, 1e-2, 15, 0.734774468826193, 1.6168093319319508
AP-COV, true, 16, 1, L2, 1e-3, 1, 0.43903836276717634, 5.590900287489219
AP-COV, true, 16, 1, L2, 1e-3, 5, 0.6138486213065203, 2.8440005530608943
AP-COV, true, 16, 1, L2, 1e-3, 15, 0.734774468826193, 1.4684582061928475
AP-COV, true, 16, 2, L1, 1e-2, 1, 0.3236933125071718, 5.218899549882105
AP-COV, true, 16, 2, L1, 1e-2, 5, 0.5166375887234783, 3.3231821718391465
AP-COV, true, 16, 2, L1, 1e-2, 15, 0.613552051916132, 2.56397449092631
AP-COV, true, 16, 2, L1, 1e-3, 1, 0.3236933125071718, 4.107273148612742
AP-COV, true, 16, 2, L1, 1e-3, 5, 0.5178800569470786, 2.2263167409077744
AP-COV, true, 16, 2, L1, 1e-3, 15, 0.613552051916132, 1.4875470619260167
AP-COV, true, 16, 2, L2, 1e-2, 1, 0.3236933125071718, 4.303859546872005
AP-COV, true, 16, 2, L2, 1e-2, 5, 0.5178800569470786, 2.4170528072521
AP-COV, true, 16, 2, L2, 1e-2, 15, 0.613552051916132, 1.6725375568208518
AP-COV, true, 16, 2, L2, 1e-3, 1, 0.3236933125071718, 4.015723209439611
AP-COV, true, 16, 2, L2, 1e-3, 5, 0.5178800569470786, 2.135544827379332
AP-COV, true, 16, 2, L2, 1e-3, 15, 0.613552051916132, 1.3975116859184453
AP-COV, true, 32, 1, L1, 1e-2, 1, 0.314484126984127, 9.824914671892037
AP-COV, true, 32, 1, L1, 1e-2, 5, 0.5094135801256179, 5.100358257995793
AP-COV, true, 32, 1, L1, 1e-2, 15, 0.6047605919365446, 3.369650842221968
AP-COV, true, 32, 1, L1, 1e-3, 1, 0.314484126984127, 8.730393085011675
AP-COV, true, 32, 1, L1, 1e-3, 5, 0.5094135801256179, 4.02134293208093
AP-COV, true, 32, 1, L1, 1e-3, 15, 0.6047605919365446, 2.312055358857465
AP-COV, true, 32, 1, L2, 1e-2, 1, 0.314484126984127, 8.865901519915809
AP-COV, true, 32, 1, L2, 1e-2, 5, 0.5094135801256179, 4.152612994053612
AP-COV, true, 32, 1, L2, 1e-2, 15, 0.6047605919365446, 2.439435601234436
AP-COV, true, 32, 1, L2, 1e-3, 1, 0.314484126984127, 8.634424048698753
AP-COV, true, 32, 1, L2, 1e-3, 5, 0.5094135801256179, 3.9262981553750533
AP-COV, true, 32, 1, L2, 1e-3, 15, 0.6047605919365446, 2.218236714053008
AP-COV, true, 32, 2, L1, 1e-2, 1, 0.3673077524470713, 6.543821030599208
AP-COV, true, 32, 2, L1, 1e-2, 5, 0.5720798826777088, 4.410109999721036
AP-COV, true, 32, 2, L1, 1e-2, 15, 0.6331004291475275, 3.8764309312668317
AP-COV, true, 32, 2, L1, 1e-3, 1, 0.3673077524470713, 4.067895939745054
AP-COV, true, 32, 2, L1, 1e-3, 5, 0.557805655117483, 1.9563681691702157
AP-COV, true, 32, 2, L1, 1e-3, 15, 0.6331004291475275, 1.451761442459434
AP-COV, true, 32, 2, L2, 1e-2, 1, 0.3673077524470713, 4.3563228063056805
AP-COV, true, 32, 2, L2, 1e-2, 5, 0.557805655117483, 2.2407678709439707
AP-COV, true, 32, 2, L2, 1e-2, 15, 0.6331004291475275, 1.7303165672746903
AP-COV, true, 32, 2, L2, 1e-3, 1, 0.3673077524470713, 3.848995830383769
AP-COV, true, 32, 2, L2, 1e-3, 5, 0.557805655117483, 1.7386646786350415
AP-COV, true, 32, 2, L2, 1e-3, 15, 0.6331004291475275, 1.2349161531296244
AP-COV, false, 16, 1, L1, 1e-2, 1, 0.4040939218878001, 7.946416679335518
AP-COV, false, 16, 1, L1, 1e-2, 5, 0.49742920432896565, 5.14463431922936
AP-COV, false, 16, 1, L1, 1e-2, 15, 0.5939614661654136, 3.0443220153176713
AP-COV, false, 16, 1, L1, 1e-3, 1, 0.4040939218878001, 7.30046226897854
AP-COV, false, 16, 1, L1, 1e-3, 5, 0.49742920432896565, 4.510298655076992
AP-COV, false, 16, 1, L1, 1e-3, 15, 0.5939614661654136, 2.4214293704442453
AP-COV, false, 16, 1, L2, 1e-2, 1, 0.4040939218878001, 7.408077603834538
AP-COV, false, 16, 1, L2, 1e-2, 5, 0.49742920432896565, 4.61411669173855
AP-COV, false, 16, 1, L2, 1e-2, 15, 0.5939614661654136, 2.5223350239677664
AP-COV, false, 16, 1, L2, 1e-3, 1, 0.4040939218878001, 7.246614977991654
AP-COV, false, 16, 1, L2, 1e-3, 5, 0.49742920432896565, 4.45705284827326
AP-COV, false, 16, 1, L2, 1e-3, 15, 0.5939614661654136, 2.3709052994938715
AP-COV, false, 16, 2, L1, 1e-2, 1, 0.2538449272443175, 6.801922748425255
AP-COV, false, 16, 2, L1, 1e-2, 5, 0.4009680783420392, 4.470736173032983
AP-COV, false, 16, 2, L1, 1e-2, 15, 0.49765160622453747, 3.335524948096714
AP-COV, false, 16, 2, L1, 1e-3, 1, 0.2538449272443175, 5.686131228698543
AP-COV, false, 16, 2, L1, 1e-3, 5, 0.4009680783420392, 3.3639801506615856
AP-COV, false, 16, 2, L1, 1e-3, 15, 0.49765160622453747, 2.2447865762593557
AP-COV, false, 16, 2, L2, 1e-2, 1, 0.2538449272443175, 5.884715247007967
AP-COV, false, 16, 2, L2, 1e-2, 5, 0.4009680783420392, 3.558072093074307
AP-COV, false, 16, 2, L2, 1e-2, 15, 0.49765160622453747, 2.433656206891581
AP-COV, false, 16, 2, L2, 1e-3, 1, 0.2538449272443175, 5.594387636594246
AP-COV, false, 16, 2, L2, 1e-3, 5, 0.4009680783420392, 3.2726000818006833
AP-COV, false, 16, 2, L2, 1e-3, 15, 0.49765160622453747, 2.1543513814364474
AP-COV, false, 32, 1, L1, 1e-2, 1, 0.21538877788877786, 13.279852059721215
AP-COV, false, 32, 1, L1, 1e-2, 5, 0.37654509640653266, 7.19052293403017
AP-COV, false, 32, 1, L1, 1e-2, 15, 0.513236867953849, 3.9966842323724476
AP-COV, false, 32, 1, L1, 1e-3, 1, 0.21538877788877786, 12.180311788079198
AP-COV, false, 32, 1, L1, 1e-3, 5, 0.37654509640653266, 6.103684758847477
AP-COV, false, 32, 1, L1, 1e-3, 15, 0.513236867953849, 2.9247768429890733
AP-COV, false, 32, 1, L2, 1e-2, 1, 0.21538877788877786, 12.317396807524323
AP-COV, false, 32, 1, L2, 1e-2, 5, 0.37654509640653266, 6.236957339421371
AP-COV, false, 32, 1, L2, 1e-2, 15, 0.513236867953849, 3.054800842437276
AP-COV, false, 32, 1, L2, 1e-3, 1, 0.21538877788877786, 12.084008562052908
AP-COV, false, 32, 1, L2, 1e-3, 5, 0.37654509640653266, 6.00816636290287
AP-COV, false, 32, 1, L2, 1e-3, 15, 0.513236867953849, 2.830113384621275
AP-COV, false, 32, 2, L1, 1e-2, 1, 0.3020481215368524, 8.801365252652783
AP-COV, false, 32, 2, L1, 1e-2, 5, 0.45991979552265116, 5.457886526189699
AP-COV, false, 32, 2, L1, 1e-2, 15, 0.582782552385779, 4.2344179314338355
AP-COV, false, 32, 2, L1, 1e-3, 1, 0.3020481215368524, 6.319688146099723
AP-COV, false, 32, 2, L1, 1e-3, 5, 0.46471229293809946, 2.9917462076877523
AP-COV, false, 32, 2, L1, 1e-3, 15, 0.5776446540086229, 1.7890559369069667
AP-COV, false, 32, 2, L2, 1e-2, 1, 0.3020481215368524, 6.6096219299761065
AP-COV, false, 32, 2, L2, 1e-2, 5, 0.46471229293809946, 3.277913590150377
AP-COV, false, 32, 2, L2, 1e-2, 15, 0.5776446540086229, 2.0711862923908817
AP-COV, false, 32, 2, L2, 1e-3, 1, 0.3020481215368524, 6.100460511775105
AP-COV, false, 32, 2, L2, 1e-3, 5, 0.46471229293809946, 2.773383459430531
AP-COV, false, 32, 2, L2, 1e-3, 15, 0.5776446540086229, 1.5717346734064488
Autoencoder, true, 16, 1, L1, 1e-2, 1, 0.20419203664089122, 3.3560203920844143
Autoencoder, true, 16, 1, L1, 1e-2, 5, 0.20523400131085356, 3.3074722187650716
Autoencoder, true, 16, 1, L1, 1e-2, 15, 0.2130216351997407, 3.208067488816618
Autoencoder, true, 16, 1, L1, 1e-3, 1, 0.20419203664089122, 2.5998469276662255
Autoencoder, true, 16, 1, L1, 1e-3, 5, 0.20523400131085356, 2.5561394406242606
Autoencoder, true, 16, 1, L1, 1e-3, 15, 0.2130216351997407, 2.4679762424866847
Autoencoder, true, 16, 1, L2, 1e-2, 1, 0.20419203664089122, 2.712130796689929
Autoencoder, true, 16, 1, L2, 1e-2, 5, 0.20523400131085356, 2.6668227260098134
Autoencoder, true, 16, 1, L2, 1e-2, 15, 0.2130216351997407, 2.575138252205644
Autoencoder, true, 16, 1, L2, 1e-3, 1, 0.20419203664089122, 2.5354180343311987
Autoencoder, true, 16, 1, L2, 1e-3, 5, 0.20523400131085356, 2.491867750700266
Autoencoder, true, 16, 1, L2, 1e-3, 15, 0.2130216351997407, 2.404082998176294
Autoencoder, true, 16, 2, L1, 1e-2, 1, 0.19420405627302179, 3.6066796735751847
Autoencoder, true, 16, 2, L1, 1e-2, 5, 0.207274078793671, 3.5481535949590017
Autoencoder, true, 16, 2, L1, 1e-2, 15, 0.21739887189653545, 3.4373193021200916
Autoencoder, true, 16, 2, L1, 1e-3, 1, 0.19420405627302179, 2.3812829043967594
Autoencoder, true, 16, 2, L1, 1e-3, 5, 0.207274078793671, 2.3294817275064856
Autoencoder, true, 16, 2, L1, 1e-3, 15, 0.2148065158628539, 2.233658491468137
Autoencoder, true, 16, 2, L2, 1e-2, 1, 0.19420405627302179, 2.584982705262541
Autoencoder, true, 16, 2, L2, 1e-2, 5, 0.207274078793671, 2.5307129219265803
Autoencoder, true, 16, 2, L2, 1e-2, 15, 0.2148065158628539, 2.429822025123549
Autoencoder, true, 16, 2, L2, 1e-3, 1, 0.19420405627302179, 2.279053002778738
Autoencoder, true, 16, 2, L2, 1e-3, 5, 0.207274078793671, 2.2274372350950182
Autoencoder, true, 16, 2, L2, 1e-3, 15, 0.2148065158628539, 2.132006331455488
Autoencoder, true, 32, 1, L1, 1e-2, 1, 0.194190441526444, 3.7191629512178386
Autoencoder, true, 32, 1, L1, 1e-2, 5, 0.2265653749716124, 3.6699900568628605
Autoencoder, true, 32, 1, L1, 1e-2, 15, 0.21969190887306858, 3.5727738368730604
Autoencoder, true, 32, 1, L1, 1e-3, 1, 0.194190441526444, 2.40817060792373
Autoencoder, true, 32, 1, L1, 1e-3, 5, 0.2265653749716124, 2.3659082907109172
Autoencoder, true, 32, 1, L1, 1e-3, 15, 0.21969190887306858, 2.284845189082842
Autoencoder, true, 32, 1, L2, 1e-2, 1, 0.194190441526444, 2.5580445213551903
Autoencoder, true, 32, 1, L2, 1e-2, 5, 0.2265653749716124, 2.5143312559537363
Autoencoder, true, 32, 1, L2, 1e-2, 15, 0.21969190887306858, 2.4300478272642825
Autoencoder, true, 32, 1, L2, 1e-3, 1, 0.194190441526444, 2.291975227601689
Autoencoder, true, 32, 1, L2, 1e-3, 5, 0.2265653749716124, 2.249925617060047
Autoencoder, true, 32, 1, L2, 1e-3, 15, 0.21969190887306858, 2.169322306393114
Autoencoder, true, 32, 2, L1, 1e-2, 1, 0.16869918699186992, 5.150753006613328
Autoencoder, true, 32, 2, L1, 1e-2, 5, 0.16869918699186992, 5.05733889012249
Autoencoder, true, 32, 2, L1, 1e-2, 15, 0.16666666666666666, 4.888943996897504
Autoencoder, true, 32, 2, L1, 1e-3, 1, 0.16869918699186992, 2.459310467989167
Autoencoder, true, 32, 2, L1, 1e-3, 5, 0.16869918699186992, 2.379615538690719
Autoencoder, true, 32, 2, L1, 1e-3, 15, 0.16666666666666666, 2.2409850585680067
Autoencoder, true, 32, 2, L2, 1e-2, 1, 0.16869918699186992, 2.7619928845598656
Autoencoder, true, 32, 2, L2, 1e-2, 5, 0.16869918699186992, 2.679661870734092
Autoencoder, true, 32, 2, L2, 1e-2, 15, 0.16666666666666666, 2.5358852842834096
Autoencoder, true, 32, 2, L2, 1e-3, 1, 0.16869918699186992, 2.2202605221169125
Autoencoder, true, 32, 2, L2, 1e-3, 5, 0.16869918699186992, 2.1409846866057696
Autoencoder, true, 32, 2, L2, 1e-3, 15, 0.16666666666666666, 2.003102718686765
Autoencoder, false, 16, 1, L1, 1e-2, 1, 0.18739005372509865, 3.368303171696107
Autoencoder, false, 16, 1, L1, 1e-2, 5, 0.18925236478292506, 3.364228665463032
Autoencoder, false, 16, 1, L1, 1e-2, 15, 0.17679425837320573, 3.35492928920348
Autoencoder, false, 16, 1, L1, 1e-3, 1, 0.18739005372509865, 2.6114026768807252
Autoencoder, false, 16, 1, L1, 1e-3, 5, 0.18925236478292506, 2.609446848828368
Autoencoder, false, 16, 1, L1, 1e-3, 15, 0.17679425837320573, 2.6053056943636
Autoencoder, false, 16, 1, L2, 1e-2, 1, 0.18739005372509865, 2.7239287265239316
Autoencoder, false, 16, 1, L2, 1e-2, 5, 0.18925236478292506, 2.7212711601900907
Autoencoder, false, 16, 1, L2, 1e-2, 15, 0.17679425837320573, 2.7154089717045884
Autoencoder, false, 16, 1, L2, 1e-3, 1, 0.18739005372509865, 2.5469472656952092
Autoencoder, false, 16, 1, L2, 1e-3, 5, 0.18925236478292506, 2.545061817198443
Autoencoder, false, 16, 1, L2, 1e-3, 15, 0.17679425837320573, 2.54108120619885
Autoencoder, false, 16, 2, L1, 1e-2, 1, 0.1984643179765131, 3.6230268610035714
Autoencoder, false, 16, 2, L1, 1e-2, 5, 0.1984643179765131, 3.623008289220143
Autoencoder, false, 16, 2, L1, 1e-2, 15, 0.20070065915090737, 3.621837493100781
Autoencoder, false, 16, 2, L1, 1e-3, 1, 0.1984643179765131, 2.3966169445061243
Autoencoder, false, 16, 2, L1, 1e-3, 5, 0.1984643179765131, 2.399624515164849
Autoencoder, false, 16, 2, L1, 1e-3, 15, 0.20070065915090737, 2.405842668439713
Autoencoder, false, 16, 2, L2, 1e-2, 1, 0.1984643179765131, 2.600708670411373
Autoencoder, false, 16, 2, L2, 1e-2, 5, 0.1984643179765131, 2.6025996325206173
Autoencoder, false, 16, 2, L2, 1e-2, 15, 0.20070065915090737, 2.606111243458613
Autoencoder, false, 16, 2, L2, 1e-3, 1, 0.1984643179765131, 2.2943586023307287
Autoencoder, false, 16, 2, L2, 1e-3, 5, 0.1984643179765131, 2.297450181165356
Autoencoder, false, 16, 2, L2, 1e-3, 15, 0.20070065915090737, 2.303872762282202
Autoencoder, false, 32, 1, L1, 1e-2, 1, 0.194190441526444, 3.7322690735565374
Autoencoder, false, 32, 1, L1, 1e-2, 5, 0.20149367385192127, 3.731000155759004
Autoencoder, false, 32, 1, L1, 1e-2, 15, 0.19645299145299144, 3.730896579707327
Autoencoder, false, 32, 1, L1, 1e-3, 1, 0.194190441526444, 2.420247664480853
Autoencoder, false, 32, 1, L1, 1e-3, 5, 0.20149367385192127, 2.4220316234541817
Autoencoder, false, 32, 1, L1, 1e-3, 15, 0.19645299145299144, 2.4296113618312436
Autoencoder, false, 32, 1, L2, 1e-2, 1, 0.194190441526444, 2.5703395056578278
Autoencoder, false, 32, 1, L2, 1e-2, 5, 0.20149367385192127, 2.5714713239962337
Autoencoder, false, 32, 1, L2, 1e-2, 15, 0.19645299145299144, 2.577463517159772
Autoencoder, false, 32, 1, L2, 1e-3, 1, 0.194190441526444, 2.3040174801656805
Autoencoder, false, 32, 1, L2, 1e-3, 5, 0.20149367385192127, 2.3058913924211373
Autoencoder, false, 32, 1, L2, 1e-3, 15, 0.19645299145299144, 2.3137061698305095
Autoencoder, false, 32, 2, L1, 1e-2, 1, 0.16869918699186992, 5.176901600843558
Autoencoder, false, 32, 2, L1, 1e-2, 5, 0.16869918699186992, 5.174841874947577
Autoencoder, false, 32, 2, L1, 1e-2, 15, 0.16869918699186992, 5.168634081179379
Autoencoder, false, 32, 2, L1, 1e-3, 1, 0.16869918699186992, 2.483338113211415
Autoencoder, false, 32, 2, L1, 1e-3, 5, 0.16869918699186992, 2.487393727331805
Autoencoder, false, 32, 2, L1, 1e-3, 15, 0.16869918699186992, 2.4960939013884844
Autoencoder, false, 32, 2, L2, 1e-2, 1, 0.16869918699186992, 2.7864595293267373
Autoencoder, false, 32, 2, L2, 1e-2, 5, 0.16869918699186992, 2.7893074655825374
Autoencoder, false, 32, 2, L2, 1e-2, 15, 0.16869918699186992, 2.7951193411657416
Autoencoder, false, 32, 2, L2, 1e-3, 1, 0.16869918699186992, 2.2442164954963637
Autoencoder, false, 32, 2, L2, 1e-3, 5, 0.16869918699186992, 2.248453970335744
Autoencoder, false, 32, 2, L2, 1e-3, 15, 0.16869918699186992, 2.257591060334188
SUB-IT, true, 16, 1, L1, 1e-2, 1, 0.29679889081086686, 9.227919449835467
SUB-IT, true, 16, 1, L1, 1e-2, 5, 0.5462126513226879, 4.728911448110101
SUB-IT, true, 16, 1, L1, 1e-2, 15, 0.6936684872477039, 2.940539044105202
SUB-IT, true, 16, 1, L1, 1e-3, 1, 0.29679889081086686, 8.321274099174452
SUB-IT, true, 16, 1, L1, 1e-3, 5, 0.5462126513226879, 3.841629427634865
SUB-IT, true, 16, 1, L1, 1e-3, 15, 0.6936684872477039, 2.0728681189882243
SUB-IT, true, 16, 1, L2, 1e-2, 1, 0.29679889081086686, 8.432733328064527
SUB-IT, true, 16, 1, L2, 1e-2, 5, 0.5462126513226879, 3.9476739409511077
SUB-IT, true, 16, 1, L2, 1e-2, 15, 0.6936684872477039, 2.173724369037371
SUB-IT, true, 16, 1, L2, 1e-3, 1, 0.29679889081086686, 8.241686747849354
